week_index,train_start,train_end,trade_start,trade_end,selection_score,selection_net_pnl_pct,selection_max_drawdown_pct,start_equity,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidations,trades,completed_cycles,grid_moves,open_positions,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,selected_portfolio_stop_loss
1,2026-01-08 03:15:00,2026-02-07 03:15:00,2026-02-07 03:15:00,2026-02-14 03:15:00,-0.07427896162538497,-0.015156086718777988,-0.039415249937737984,10000.0,10023.477637792235,23.477637792235328,0.0023477637792235326,-0.001449875668365807,0,2390,1177,22,9,0.06,8,0.005,0.005,0.015,0.04,1800.0,0.08
2,2026-02-07 03:15:00,2026-02-14 03:15:00,2026-02-14 03:15:00,2026-02-21 03:15:00,0.0005264066976064683,0.004015994079778465,-0.0023263915881146647,10023.375680690875,10046.71338670161,23.33770601073411,0.0023283279759424846,-0.002317688113120896,0,3280,1612,46,10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.1
3,2026-02-14 03:15:00,2026-02-21 03:15:00,2026-02-21 03:15:00,2026-02-28 03:15:00,-0.0005684851181936592,0.0012844762628956231,-0.0012353075873928548,10046.59136922447,10061.756342382401,15.164973157930945,0.0015094645139430588,-0.00504570763535318,0,1932,970,48,10,0.06,8,0.005,0.005,0.015,0.04,1800.0,0.08
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,-0.0017959625883178158,0.0009057077826169916,-0.001801113580623205,10062.055892928907,10094.200444548778,32.14455161987098,0.00319463059656233,-0.0036900686437429755,0,3051,1523,93,10,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.08
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,-0.0002024034218463043,0.0019629323686933277,-0.001443557193693088,10093.327183534782,10127.812869743673,34.48568620889091,0.003416681692945347,-0.003526691579233462,0,1965,993,44,10,0.06,8,0.005,0.005,0.005,0.04,1800.0,0.08
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.0019963189917806008,0.002796731038260259,-0.0005336080309864389,10127.869958118408,10144.7021911387,16.832233020291824,0.001661971677154016,-0.0032270091916254133,0,2519,1236,39,10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.1
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,-0.0015553839546670106,0.0006575276522300555,-0.001475274404598044,10143.909850545013,10116.038685537455,-27.871165007558375,-0.002747576173112472,-0.005188912458340435,0,1414,686,32,10,0.06,8,0.005,0.005,0.01,0.04,900.0,0.08
8,2026-03-21 03:15:00,2026-03-28 03:15:00,2026-03-28 03:15:00,2026-04-04 03:15:00,-0.0028644561520826638,-0.00032727509947017095,-0.0016914540350749952,10116.391277576839,10132.79905200762,16.4077744307815,0.001621899942437935,-0.006670487783183578,0,1266,634,21,9,0.06,8,0.005,0.005,0.01,0.04,900.0,0.08
9,2026-03-28 03:15:00,2026-04-04 03:15:00,2026-04-04 03:15:00,2026-04-11 03:15:00,-9.848987326440935e-05,0.0009797798132693061,-0.0007188464576891437,10132.150657922442,10176.234705142759,44.08404722031628,0.004350907197165141,-0.004354958712419765,0,1143,588,20,10,0.06,8,0.005,0.005,0.015,0.04,1800.0,0.08
10,2026-04-04 03:15:00,2026-04-11 03:15:00,2026-04-11 03:15:00,2026-04-18 03:15:00,0.0004243815779864579,0.0018165010035541855,-0.0009280796170451518,10176.411622726935,10223.397627177257,46.98600445032207,0.004617148577735244,-0.0030563286342541484,0,2141,1089,27,10,0.06,12,0.005,0.005,0.005,0.04,0.0,0.1
